episode: 15	 steps: 1200	 total steps: 22704	 epsilon: 0.74
episode: 15	 steps: 1300	 total steps: 22804	 epsilon: 0.74
episode: 15	 steps: 1400	 total steps: 22904	 epsilon: 0.74
episode: 15	 steps: 1500	 total steps: 23004	 epsilon: 0.74
episode: 15	 steps: 1600	 total steps: 23104	 epsilon: 0.73
episode: 15	 steps: 1700	 total steps: 23204	 epsilon: 0.73
episode: 15	 steps: 1800	 total steps: 23304	 epsilon: 0.73
episode: 15	 steps: 1900	 total steps: 23404	 epsilon: 0.73
episode: 15	 steps: 2000	 total steps: 23504	 epsilon: 0.73
episode: 15	 steps: 2100	 total steps: 23604	 epsilon: 0.73
episode: 15	 steps: 2200	 total steps: 23704	 epsilon: 0.73
episode: 15	 steps: 2300	 total steps: 23804	 epsilon: 0.73
episode: 15	 steps: 2400	 total steps: 23904	 epsilon: 0.73
episode: 15	 steps: 2500	 total steps: 24004	 epsilon: 0.73
episode: 15	 steps: 2600	 total steps: 24104	 epsilon: 0.73
episode: 15	 steps: 2700	 total steps: 24204	 epsilon: 0.73
episode: 15	 steps: 2800	 total steps: 24304	 epsilon: 0.73
episode: 15	 steps: 2900	 total steps: 24404	 epsilon: 0.73
episode: 15	 steps: 3000	 total steps: 24504	 epsilon: 0.73
episode: 15	 steps: 3100	 total steps: 24604	 epsilon: 0.73
episode: 15	 steps: 3200	 total steps: 24704	 epsilon: 0.72
episode: 15	 steps: 3300	 total steps: 24804	 epsilon: 0.72
episode: 15	 steps: 3400	 total steps: 24904	 epsilon: 0.72
episode: 15	 steps: 3500	 total steps: 25004	 epsilon: 0.72
episode: 16	 steps: 100	 total steps: 25196	 epsilon: 0.72
episode: 16	 steps: 200	 total steps: 25296	 epsilon: 0.72
episode: 16	 steps: 300	 total steps: 25396	 epsilon: 0.72
episode: 16	 steps: 400	 total steps: 25496	 epsilon: 0.72
episode: 16	 steps: 500	 total steps: 25596	 epsilon: 0.72
episode: 16	 steps: 600	 total steps: 25696	 epsilon: 0.72
episode: 16	 steps: 700	 total steps: 25796	 epsilon: 0.72
episode: 16	 steps: 800	 total steps: 25896	 epsilon: 0.72
episode: 16	 steps: 900	 total steps: 25996	 epsilon: 0.72
episode: 16	 steps: 1000	 total steps: 26096	 epsilon: 0.72
episode: 16	 steps: 1100	 total steps: 26196	 epsilon: 0.72
episode: 16	 steps: 1200	 total steps: 26296	 epsilon: 0.72
episode: 16	 steps: 1300	 total steps: 26396	 epsilon: 0.71
episode: 16	 steps: 1400	 total steps: 26496	 epsilon: 0.71
episode: 16	 steps: 1500	 total steps: 26596	 epsilon: 0.71
episode: 17	 steps: 100	 total steps: 26724	 epsilon: 0.71
episode: 17	 steps: 200	 total steps: 26824	 epsilon: 0.71
episode: 17	 steps: 300	 total steps: 26924	 epsilon: 0.71
episode: 17	 steps: 400	 total steps: 27024	 epsilon: 0.71
episode: 17	 steps: 500	 total steps: 27124	 epsilon: 0.71
episode: 17	 steps: 600	 total steps: 27224	 epsilon: 0.71
episode: 17	 steps: 700	 total steps: 27324	 epsilon: 0.71
episode: 17	 steps: 800	 total steps: 27424	 epsilon: 0.71
episode: 17	 steps: 900	 total steps: 27524	 epsilon: 0.71
episode: 17	 steps: 1000	 total steps: 27624	 epsilon: 0.71
episode: 17	 steps: 1100	 total steps: 27724	 epsilon: 0.71
episode: 17	 steps: 1200	 total steps: 27824	 epsilon: 0.71
episode: 17	 steps: 1300	 total steps: 27924	 epsilon: 0.71
episode: 17	 steps: 1400	 total steps: 28024	 epsilon: 0.70
episode: 17	 steps: 1500	 total steps: 28124	 epsilon: 0.70
episode: 17	 steps: 1600	 total steps: 28224	 epsilon: 0.70
episode: 17	 steps: 1700	 total steps: 28324	 epsilon: 0.70
episode: 17	 steps: 1800	 total steps: 28424	 epsilon: 0.70
episode: 17	 steps: 1900	 total steps: 28524	 epsilon: 0.70
episode: 17	 steps: 2000	 total steps: 28624	 epsilon: 0.70
episode: 17	 steps: 2100	 total steps: 28724	 epsilon: 0.70
episode: 17	 steps: 2200	 total steps: 28824	 epsilon: 0.70
episode: 17	 steps: 2300	 total steps: 28924	 epsilon: 0.70
episode: 17	 steps: 2400	 total steps: 29024	 epsilon: 0.70
episode: 17	 steps: 2500	 total steps: 29124	 epsilon: 0.70
episode: 17	 steps: 2600	 total steps: 29224	 epsilon: 0.70
episode: 17	 steps: 2700	 total steps: 29324	 epsilon: 0.70
episode: 17	 steps: 2800	 total steps: 29424	 epsilon: 0.70
episode: 17	 steps: 2900	 total steps: 29524	 epsilon: 0.70
episode: 17	 steps: 3000	 total steps: 29624	 epsilon: 0.69
episode: 17	 steps: 3100	 total steps: 29724	 epsilon: 0.69
episode: 17	 steps: 3200	 total steps: 29824	 epsilon: 0.69
episode: 17	 steps: 3300	 total steps: 29924	 epsilon: 0.69
episode: 17	 steps: 3400	 total steps: 30024	 epsilon: 0.69
episode: 17	 steps: 3500	 total steps: 30124	 epsilon: 0.69
episode: 17	 steps: 3600	 total steps: 30224	 epsilon: 0.69
episode: 17	 steps: 3700	 total steps: 30324	 epsilon: 0.69
episode: 17	 steps: 3800	 total steps: 30424	 epsilon: 0.69
episode: 17	 steps: 3900	 total steps: 30524	 epsilon: 0.69
episode: 17	 steps: 4000	 total steps: 30624	 epsilon: 0.69
episode: 17	 steps: 4100	 total steps: 30724	 epsilon: 0.69
episode: 17	 steps: 4200	 total steps: 30824	 epsilon: 0.69
episode: 17	 steps: 4300	 total steps: 30924	 epsilon: 0.69
episode: 17	 steps: 4400	 total steps: 31024	 epsilon: 0.69
episode: 17	 steps: 4500	 total steps: 31124	 epsilon: 0.69
episode: 17	 steps: 4600	 total steps: 31224	 epsilon: 0.69
episode: 17	 steps: 4700	 total steps: 31324	 epsilon: 0.68
episode: 17	 steps: 4800	 total steps: 31424	 epsilon: 0.68
episode: 17	 steps: 4900	 total steps: 31524	 epsilon: 0.68
episode: 17	 steps: 5000	 total steps: 31624	 epsilon: 0.68
episode: 17	 steps: 5100	 total steps: 31724	 epsilon: 0.68
episode: 17	 steps: 5200	 total steps: 31824	 epsilon: 0.68
episode: 17	 steps: 5300	 total steps: 31924	 epsilon: 0.68
episode: 17	 steps: 5400	 total steps: 32024	 epsilon: 0.68
episode: 17	 steps: 5500	 total steps: 32124	 epsilon: 0.68
episode: 17	 steps: 5600	 total steps: 32224	 epsilon: 0.68
episode: 17	 steps: 5700	 total steps: 32324	 epsilon: 0.68
episode: 17	 steps: 5800	 total steps: 32424	 epsilon: 0.68
episode: 17	 steps: 5900	 total steps: 32524	 epsilon: 0.68
episode: 17	 steps: 6000	 total steps: 32624	 epsilon: 0.68
episode: 17	 steps: 6100	 total steps: 32724	 epsilon: 0.68
episode: 17	 steps: 6200	 total steps: 32824	 epsilon: 0.68
episode: 17	 steps: 6300	 total steps: 32924	 epsilon: 0.68
episode: 17	 steps: 6400	 total steps: 33024	 epsilon: 0.68
episode: 17	 steps: 6500	 total steps: 33124	 epsilon: 0.67
episode: 17	 steps: 6600	 total steps: 33224	 epsilon: 0.67
episode: 17	 steps: 6700	 total steps: 33324	 epsilon: 0.67
episode: 17	 steps: 6800	 total steps: 33424	 epsilon: 0.67
episode: 17	 steps: 6900	 total steps: 33524	 epsilon: 0.67
episode: 17	 steps: 7000	 total steps: 33624	 epsilon: 0.67
episode: 17	 steps: 7100	 total steps: 33724	 epsilon: 0.67
episode: 17	 steps: 7200	 total steps: 33824	 epsilon: 0.67
episode: 17	 steps: 7300	 total steps: 33924	 epsilon: 0.67
episode: 18	 steps: 100	 total steps: 34072	 epsilon: 0.67
episode: 18	 steps: 200	 total steps: 34172	 epsilon: 0.67
episode: 18	 steps: 300	 total steps: 34272	 epsilon: 0.67
episode: 18	 steps: 400	 total steps: 34372	 epsilon: 0.67
episode: 18	 steps: 500	 total steps: 34472	 epsilon: 0.67
