episode: 232	 steps: 02241	 total steps:652629	 epsilon: 0.01	 average Q: 0.020
episode: 233	 steps: 02597	 total steps:655225	 epsilon: 0.01	 average Q: 0.020
episode: 234	 steps: 02445	 total steps:657669	 epsilon: 0.01	 average Q: 0.020
episode: 235	 steps: 01205	 total steps:658873	 epsilon: 0.01	 average Q: 0.020
episode: 236	 steps: 01469	 total steps:660341	 epsilon: 0.01	 average Q: 0.020
episode: 237	 steps: 02805	 total steps:663145	 epsilon: 0.01	 average Q: 0.020
episode: 238	 steps: 01693	 total steps:664837	 epsilon: 0.01	 average Q: 0.020
episode: 239	 steps: 01625	 total steps:666461	 epsilon: 0.01	 average Q: 0.020
episode: 240	 steps: 00897	 total steps:667357	 epsilon: 0.01	 average Q: 0.020
episode: 241	 steps: 03633	 total steps:670989	 epsilon: 0.01	 average Q: 0.020
episode: 242	 steps: 03809	 total steps:674797	 epsilon: 0.01	 average Q: 0.020
episode: 243	 steps: 01881	 total steps:676677	 epsilon: 0.01	 average Q: 0.020
episode: 244	 steps: 00789	 total steps:677465	 epsilon: 0.01	 average Q: 0.020
episode: 245	 steps: 01553	 total steps:679017	 epsilon: 0.01	 average Q: 0.020
episode: 246	 steps: 02733	 total steps:681749	 epsilon: 0.01	 average Q: 0.020
episode: 247	 steps: 00509	 total steps:682257	 epsilon: 0.01	 average Q: 0.020
episode: 248	 steps: 00865	 total steps:683121	 epsilon: 0.01	 average Q: 0.020
episode: 249	 steps: 04049	 total steps:687169	 epsilon: 0.01	 average Q: 0.020
episode: 250	 steps: 00445	 total steps:687613	 epsilon: 0.01	 average Q: 0.020
Evaluation: 5	 average reward: -296.0
episode: 251	 steps: 01253	 total steps:688865	 epsilon: 0.01	 average Q: 0.020
episode: 252	 steps: 01209	 total steps:690073	 epsilon: 0.01	 average Q: 0.020
episode: 253	 steps: 00437	 total steps:690509	 epsilon: 0.01	 average Q: 0.020
episode: 254	 steps: 05045	 total steps:695553	 epsilon: 0.01	 average Q: 0.020
episode: 255	 steps: 03025	 total steps:698577	 epsilon: 0.01	 average Q: 0.020
episode: 256	 steps: 02641	 total steps:701217	 epsilon: 0.01	 average Q: 0.020
episode: 257	 steps: 04301	 total steps:705517	 epsilon: 0.01	 average Q: 0.020
episode: 258	 steps: 00853	 total steps:706369	 epsilon: 0.01	 average Q: 0.020
episode: 259	 steps: 00625	 total steps:706993	 epsilon: 0.01	 average Q: 0.020
episode: 260	 steps: 00645	 total steps:707637	 epsilon: 0.01	 average Q: 0.020
