episode: 300	 steps: 02701	 total steps:1581047	 epsilon: 0.10
Evaluation: 6	 average reward: -7589.3
episode: 301	 steps: 02760	 total steps:1583807	 epsilon: 0.10
episode: 302	 steps: 03341	 total steps:1587148	 epsilon: 0.10
episode: 303	 steps: 02062	 total steps:1589210	 epsilon: 0.10
episode: 304	 steps: 01116	 total steps:1590326	 epsilon: 0.10
episode: 305	 steps: 10000	 total steps:1600326	 epsilon: 0.10
episode: 306	 steps: 03328	 total steps:1603654	 epsilon: 0.10
episode: 307	 steps: 01336	 total steps:1604990	 epsilon: 0.10
episode: 308	 steps: 03293	 total steps:1608283	 epsilon: 0.10
episode: 309	 steps: 03466	 total steps:1611749	 epsilon: 0.10
episode: 310	 steps: 01997	 total steps:1613746	 epsilon: 0.10
episode: 311	 steps: 00859	 total steps:1614605	 epsilon: 0.10
episode: 312	 steps: 10000	 total steps:1624605	 epsilon: 0.10
episode: 313	 steps: 01202	 total steps:1625807	 epsilon: 0.10
episode: 314	 steps: 10000	 total steps:1635807	 epsilon: 0.10
episode: 315	 steps: 02979	 total steps:1638786	 epsilon: 0.10
episode: 316	 steps: 06952	 total steps:1645738	 epsilon: 0.10
episode: 317	 steps: 01317	 total steps:1647055	 epsilon: 0.10
episode: 318	 steps: 02412	 total steps:1649467	 epsilon: 0.10
episode: 319	 steps: 07247	 total steps:1656714	 epsilon: 0.10
episode: 320	 steps: 01008	 total steps:1657722	 epsilon: 0.10
episode: 321	 steps: 02649	 total steps:1660371	 epsilon: 0.10
episode: 322	 steps: 09650	 total steps:1670021	 epsilon: 0.10
episode: 323	 steps: 01263	 total steps:1671284	 epsilon: 0.10
episode: 324	 steps: 04538	 total steps:1675822	 epsilon: 0.10
episode: 325	 steps: 06271	 total steps:1682093	 epsilon: 0.10
episode: 326	 steps: 01532	 total steps:1683625	 epsilon: 0.10
episode: 327	 steps: 06060	 total steps:1689685	 epsilon: 0.10
episode: 328	 steps: 02004	 total steps:1691689	 epsilon: 0.10
episode: 329	 steps: 01745	 total steps:1693434	 epsilon: 0.10
episode: 330	 steps: 04715	 total steps:1698149	 epsilon: 0.10
episode: 331	 steps: 04426	 total steps:1702575	 epsilon: 0.10
episode: 332	 steps: 02769	 total steps:1705344	 epsilon: 0.10
episode: 333	 steps: 01673	 total steps:1707017	 epsilon: 0.10
episode: 334	 steps: 03321	 total steps:1710338	 epsilon: 0.10
episode: 335	 steps: 03195	 total steps:1713533	 epsilon: 0.10
episode: 336	 steps: 00705	 total steps:1714238	 epsilon: 0.10
episode: 337	 steps: 01171	 total steps:1715409	 epsilon: 0.10
episode: 338	 steps: 02232	 total steps:1717641	 epsilon: 0.10
episode: 339	 steps: 02213	 total steps:1719854	 epsilon: 0.10
episode: 340	 steps: 00519	 total steps:1720373	 epsilon: 0.10
episode: 341	 steps: 03083	 total steps:1723456	 epsilon: 0.10
episode: 342	 steps: 00844	 total steps:1724300	 epsilon: 0.10
episode: 343	 steps: 00896	 total steps:1725196	 epsilon: 0.10
episode: 344	 steps: 03008	 total steps:1728204	 epsilon: 0.10
episode: 345	 steps: 03099	 total steps:1731303	 epsilon: 0.10
episode: 346	 steps: 03655	 total steps:1734958	 epsilon: 0.10
episode: 347	 steps: 01602	 total steps:1736560	 epsilon: 0.10
episode: 348	 steps: 00902	 total steps:1737462	 epsilon: 0.10
episode: 349	 steps: 09677	 total steps:1747139	 epsilon: 0.10
episode: 350	 steps: 03695	 total steps:1750834	 epsilon: 0.10
Evaluation: 7	 average reward: -9462.2
episode: 351	 steps: 02627	 total steps:1753461	 epsilon: 0.10
episode: 352	 steps: 04598	 total steps:1758059	 epsilon: 0.10
episode: 353	 steps: 01944	 total steps:1760003	 epsilon: 0.10
episode: 354	 steps: 04604	 total steps:1764607	 epsilon: 0.10
episode: 355	 steps: 03111	 total steps:1767718	 epsilon: 0.10
episode: 356	 steps: 05150	 total steps:1772868	 epsilon: 0.10
episode: 357	 steps: 05698	 total steps:1778566	 epsilon: 0.10
episode: 358	 steps: 07520	 total steps:1786086	 epsilon: 0.10
episode: 359	 steps: 02895	 total steps:1788981	 epsilon: 0.10
episode: 360	 steps: 02463	 total steps:1791444	 epsilon: 0.10
episode: 361	 steps: 00678	 total steps:1792122	 epsilon: 0.10
episode: 362	 steps: 05571	 total steps:1797693	 epsilon: 0.10
episode: 363	 steps: 01688	 total steps:1799381	 epsilon: 0.10
episode: 364	 steps: 06312	 total steps:1805693	 epsilon: 0.10
episode: 365	 steps: 02066	 total steps:1807759	 epsilon: 0.10
episode: 366	 steps: 02907	 total steps:1810666	 epsilon: 0.10
episode: 367	 steps: 00439	 total steps:1811105	 epsilon: 0.10
episode: 368	 steps: 03293	 total steps:1814398	 epsilon: 0.10
episode: 369	 steps: 03316	 total steps:1817714	 epsilon: 0.10
episode: 370	 steps: 02148	 total steps:1819862	 epsilon: 0.10
episode: 371	 steps: 02538	 total steps:1822400	 epsilon: 0.10
episode: 372	 steps: 04478	 total steps:1826878	 epsilon: 0.10
episode: 373	 steps: 04866	 total steps:1831744	 epsilon: 0.10
episode: 374	 steps: 05596	 total steps:1837340	 epsilon: 0.10
episode: 375	 steps: 05877	 total steps:1843217	 epsilon: 0.10
episode: 376	 steps: 04947	 total steps:1848164	 epsilon: 0.10
episode: 377	 steps: 01969	 total steps:1850133	 epsilon: 0.10
episode: 378	 steps: 00788	 total steps:1850921	 epsilon: 0.10
episode: 379	 steps: 05912	 total steps:1856833	 epsilon: 0.10
episode: 380	 steps: 08469	 total steps:1865302	 epsilon: 0.10
episode: 381	 steps: 07177	 total steps:1872479	 epsilon: 0.10
episode: 382	 steps: 00747	 total steps:1873226	 epsilon: 0.10
episode: 383	 steps: 01402	 total steps:1874628	 epsilon: 0.10
episode: 384	 steps: 03208	 total steps:1877836	 epsilon: 0.10
episode: 385	 steps: 10000	 total steps:1887836	 epsilon: 0.10
episode: 386	 steps: 07252	 total steps:1895088	 epsilon: 0.10
episode: 387	 steps: 06184	 total steps:1901272	 epsilon: 0.10
episode: 388	 steps: 04465	 total steps:1905737	 epsilon: 0.10
episode: 389	 steps: 03779	 total steps:1909516	 epsilon: 0.10
episode: 390	 steps: 03503	 total steps:1913019	 epsilon: 0.10
episode: 391	 steps: 01282	 total steps:1914301	 epsilon: 0.10
episode: 392	 steps: 03317	 total steps:1917618	 epsilon: 0.10
episode: 393	 steps: 03039	 total steps:1920657	 epsilon: 0.10
episode: 394	 steps: 02504	 total steps:1923161	 epsilon: 0.10
episode: 395	 steps: 10000	 total steps:1933161	 epsilon: 0.10
episode: 396	 steps: 07456	 total steps:1940617	 epsilon: 0.10
episode: 397	 steps: 01463	 total steps:1942080	 epsilon: 0.10
episode: 398	 steps: 10000	 total steps:1952080	 epsilon: 0.10
episode: 399	 steps: 03089	 total steps:1955169	 epsilon: 0.10
episode: 400	 steps: 00331	 total steps:1955500	 epsilon: 0.10
Evaluation: 8	 average reward: -8658.9
episode: 401	 steps: 03526	 total steps:1959026	 epsilon: 0.10
episode: 402	 steps: 04098	 total steps:1963124	 epsilon: 0.10
episode: 403	 steps: 09095	 total steps:1972219	 epsilon: 0.10
episode: 404	 steps: 04900	 total steps:1977119	 epsilon: 0.10
episode: 405	 steps: 01211	 total steps:1978330	 epsilon: 0.10
episode: 406	 steps: 03004	 total steps:1981334	 epsilon: 0.10
episode: 407	 steps: 01565	 total steps:1982899	 epsilon: 0.10
episode: 408	 steps: 03866	 total steps:1986765	 epsilon: 0.10
episode: 409	 steps: 04941	 total steps:1991706	 epsilon: 0.10
episode: 410	 steps: 01579	 total steps:1993285	 epsilon: 0.10
episode: 411	 steps: 04267	 total steps:1997552	 epsilon: 0.10
